"","Sample","Timepoint","Replicate","variable","value","Mean_ODnorm","SD_ODnorm","SE_ODnorm","col_fac"
"68","△TRP2-△TRP4 10:1","24h","rep2","Glucose_pOD",108.522626334241,112.281292797707,4.22039879212767,2.43664837872248,"Trp2 Trp4"
"69","△TRP2-△TRP4 10:1","24h","rep3","Glucose_pOD",116.846903337706,112.281292797707,4.22039879212767,2.43664837872248,"Trp2 Trp4"
"70","△TRP2-△TRP4 10:1","48h","rep1","Glucose_pOD",41.177454762518,43.5966484665243,2.77794620123786,1.60384798707898,"Trp2 Trp4"
"71","△TRP2-△TRP4 10:1","48h","rep2","Glucose_pOD",42.982071131712,43.5966484665243,2.77794620123786,1.60384798707898,"Trp2 Trp4"
"72","△TRP2-△TRP4 10:1","48h","rep3","Glucose_pOD",46.630419505343,43.5966484665243,2.77794620123786,1.60384798707898,"Trp2 Trp4"
"73","△TRP4-△MET14 1:10","24h","rep1","Glucose_pOD",240.057853908317,205.223905807557,30.7306888940359,17.7423715053543,"Met14 Trp2"
"74","△TRP4-△MET14 1:10","24h","rep2","Glucose_pOD",181.948409359234,205.223905807557,30.7306888940359,17.7423715053543,"Met14 Trp2"
"75","△TRP4-△MET14 1:10","24h","rep3","Glucose_pOD",193.665454155119,205.223905807557,30.7306888940359,17.7423715053543,"Met14 Trp2"
"76","△TRP4-△MET14 1:10","48h","rep1","Glucose_pOD",115.881784907474,119.500173664214,8.32984603579872,4.80923885107653,"Met14 Trp2"
"77","△TRP4-△MET14 1:10","48h","rep2","Glucose_pOD",129.027319978424,119.500173664214,8.32984603579872,4.80923885107653,"Met14 Trp2"
"78","△TRP4-△MET14 1:10","48h","rep3","Glucose_pOD",113.591416106744,119.500173664214,8.32984603579872,4.80923885107653,"Met14 Trp2"
"79","△TRP4-△MET14 10:1","24h","rep1","Glucose_pOD",142.297342922969,135.990369756033,5.49237386905882,3.17102353179118,"Met14 Trp2"
"80","△TRP4-△MET14 10:1","24h","rep2","Glucose_pOD",132.260048862572,135.990369756033,5.49237386905882,3.17102353179118,"Met14 Trp2"
"81","△TRP4-△MET14 10:1","24h","rep3","Glucose_pOD",133.413717482559,135.990369756033,5.49237386905882,3.17102353179118,"Met14 Trp2"
"82","△TRP4-△MET14 10:1","48h","rep1","Glucose_pOD",12.6844441517249,11.5021991215345,1.95442001318325,1.12838492072094,"Met14 Trp2"
"83","△TRP4-△MET14 10:1","48h","rep2","Glucose_pOD",9.24630031384805,11.5021991215345,1.95442001318325,1.12838492072094,"Met14 Trp2"
"84","△TRP4-△MET14 10:1","48h","rep3","Glucose_pOD",12.5758528990305,11.5021991215345,1.95442001318325,1.12838492072094,"Met14 Trp2"
