"","Sample","Timepoint","Replicate","parameter","value","Mean","SD","SE","col_fac"
"174","△MET3-△HIS2 1:20","48h","rep3","Glucose",10.1923687694332,9.54199802579983,0.56410087891629,0.325683794292425,"His2 Met3"
"175","△MET3-△HIS2 1:5","24h","rep1","Glucose",18.8703205238014,19.4331022343134,0.708964776319521,0.409321004454038,"His2 Met3"
"176","△MET3-△HIS2 1:5","24h","rep2","Glucose",19.1996255203862,19.4331022343134,0.708964776319521,0.409321004454038,"His2 Met3"
"177","△MET3-△HIS2 1:5","24h","rep3","Glucose",20.2293606587526,19.4331022343134,0.708964776319521,0.409321004454038,"His2 Met3"
"178","△MET3-△HIS2 1:5","48h","rep1","Glucose",9.22178853581335,9.43130026908023,0.338017062054192,0.195154241767674,"His2 Met3"
"179","△MET3-△HIS2 1:5","48h","rep2","Glucose",9.25086469219304,9.43130026908023,0.338017062054192,0.195154241767674,"His2 Met3"
"180","△MET3-△HIS2 1:5","48h","rep3","Glucose",9.82124757923429,9.43130026908023,0.338017062054192,0.195154241767674,"His2 Met3"
"181","△MET3-△HIS2 10:1","24h","rep1","Glucose",20.5654010168928,21.101126586242,0.715711316997159,0.413216121530371,"His2 Met3"
"182","△MET3-△HIS2 10:1","24h","rep2","Glucose",20.8240203121281,21.101126586242,0.715711316997159,0.413216121530371,"His2 Met3"
"183","△MET3-△HIS2 10:1","24h","rep3","Glucose",21.9139584297052,21.101126586242,0.715711316997159,0.413216121530371,"His2 Met3"
"184","△MET3-△HIS2 10:1","48h","rep1","Glucose",22.1489169495413,22.640111219165,0.607792533143945,0.350909182622101,"His2 Met3"
"185","△MET3-△HIS2 10:1","48h","rep2","Glucose",22.4515909672459,22.640111219165,0.607792533143945,0.350909182622101,"His2 Met3"
"186","△MET3-△HIS2 10:1","48h","rep3","Glucose",23.3198257407079,22.640111219165,0.607792533143945,0.350909182622101,"His2 Met3"
"187","△TRP2-△TRP4 1:1","24h","rep1","Glucose",10.0753245592927,10.015761630588,1.15990857245773,0.669673526543825,"Trp2 Trp4"
"188","△TRP2-△TRP4 1:1","24h","rep2","Glucose",8.82721915135647,10.015761630588,1.15990857245773,0.669673526543825,"Trp2 Trp4"
"189","△TRP2-△TRP4 1:1","24h","rep3","Glucose",11.144741181115,10.015761630588,1.15990857245773,0.669673526543825,"Trp2 Trp4"
"190","△TRP2-△TRP4 1:1","48h","rep1","Glucose",0.0675828694377267,0.0225276231459089,0.0390189878624788,0.0225276231459089,"Trp2 Trp4"
"191","△TRP2-△TRP4 1:1","48h","rep2","Glucose",0,0.0225276231459089,0.0390189878624788,0.0225276231459089,"Trp2 Trp4"
"192","△TRP2-△TRP4 1:1","48h","rep3","Glucose",0,0.0225276231459089,0.0390189878624788,0.0225276231459089,"Trp2 Trp4"
"193","△TRP2-△TRP4 1:10","24h","rep1","Glucose",9.97018884806183,9.33327135963144,0.561278749479495,0.324054437102403,"Trp2 Trp4"
"194","△TRP2-△TRP4 1:10","24h","rep2","Glucose",9.11866789605194,9.33327135963144,0.561278749479495,0.324054437102403,"Trp2 Trp4"
"195","△TRP2-△TRP4 1:10","24h","rep3","Glucose",8.91095733478057,9.33327135963144,0.561278749479495,0.324054437102403,"Trp2 Trp4"
"196","△TRP2-△TRP4 1:10","48h","rep1","Glucose",0,0,0,0,"Trp2 Trp4"
"197","△TRP2-△TRP4 1:10","48h","rep2","Glucose",0,0,0,0,"Trp2 Trp4"
"198","△TRP2-△TRP4 1:10","48h","rep3","Glucose",0,0,0,0,"Trp2 Trp4"
"199","△TRP2-△TRP4 10:1","24h","rep1","Glucose",19.7309597236479,19.7736928176264,0.284047667758438,0.163994997443019,"Trp2 Trp4"
"200","△TRP2-△TRP4 10:1","24h","rep2","Glucose",20.0766858718345,19.7736928176264,0.284047667758438,0.163994997443019,"Trp2 Trp4"
"201","△TRP2-△TRP4 10:1","24h","rep3","Glucose",19.5134328573969,19.7736928176264,0.284047667758438,0.163994997443019,"Trp2 Trp4"
"202","△TRP2-△TRP4 10:1","48h","rep1","Glucose",19.2710488288584,18.7384457304123,0.464297512786153,0.268062293991159,"Trp2 Trp4"
"203","△TRP2-△TRP4 10:1","48h","rep2","Glucose",18.5252726577679,18.7384457304123,0.464297512786153,0.268062293991159,"Trp2 Trp4"
"204","△TRP2-△TRP4 10:1","48h","rep3","Glucose",18.4190157046105,18.7384457304123,0.464297512786153,0.268062293991159,"Trp2 Trp4"
